name	figi	ticker	class_code	country_of_risk
Ленэнерго - акции привилегированные	TCS009092134	RU0009092134	TILA21	RU
Обувь России	TCS9342JXKG3	RU000A0JXKG3	A36	RU
Сургутнефтегаз	TCS008926258	SNGS	SPEQ	RU
ВК	TCS831706YF0	RU000A106YF0	A37	RU
Авангард Банк	TCS1437DM7B3	RU000A0DM7B3	A36	RU
Мечел - Привилегированные акции	TCS00A0JPV70	MTLRP	SMAL	RU
Solidcore Resources plc	TCS62785S470	JE00B6T5S470	000	RU
Интер РАО ЕЭС	BBG004S68473	IRAO	TQBR	RU
Юнипро	TCS00A0JNGA5	UPRO	SMAL	RU
Астраханская энергосбытовая компания	BBG000FJ8645	ASSB	TQBR	RU
НОВАТЭК	TCS00A0DKVS5	NVTK	SPEQ	RU
Petropavlovsk PLC	TCS031544546	GB0031544546	GB0031544546_BLR	RU
Татнефть	TCS209033591	RU0009033591	TILA21	RU
VK	TCS503172082	VKCO@GS	SPBEQRU	RU
Левенгук	BBG003NZBX32	LVHK	TQBR	RU
ТГК-14	TCS4534H1ES3	RU000A0H1ES3	A36	RU
Артген	TCS30A0JNAB6	RU000A0JNAB6	TILA21	RU
IPO Delimobil	ISSUANCEDELI	ISSUANCEDELI	ISSUANCEDELI	RU
ЭЛ5-Энерго	TCS20A0F5UN3	RU000A0F5UN3	TILA21	RU
Элемент	TCS20A102093	ELMT	TQBR	RU
Россети Северо-Запад	TCS10A0JPPB9	RU000A0JPPB9	TILA21	RU
VK	TCS003172082	VKCO@GS	SPBXM	RU
Гемабанк	TCS00A100GC7	RU000A100GC7	TILA21	RU
Наука-Связь	BBG002BCQK67	NSVZ	TQBR	RU
IPO СПБ Биржа (rub)	ISSUANCESPB1	ISSUANCESPB1	ISSUANCESPB1	RU
IVA Technologies	TCS10A108GD8	IVAT	PSSU	RU
Группа Черкизово	BBG000RTHVK7	GCHE	TQBR	RU
Ленэнерго - акции привилегированные	TCS529992134	RU0009092134	A36	RU
АВТОВАЗ - акции привилегированные	BBG000RSJ0Y0	AVAZP	TQBR	RU
Тамбовская энергосбытовая компания - привилегированные акции	BBG000MD2WC0	TASBP	TQBR	RU
Татнефть	TCS009033591	TATN	SPEQ	RU
IPO IVA Technologies	ISSUANCEIVAT	ISSUANCEIVAT	ISSUANCEIVAT	RU
Сургутнефтегаз	TCS508926258	RU0008926258	NSD	RU
Сургутнефтегаз - привилегированные акции	BBG004S681M2	SNGSP	TQBR	RU
Варьеганнефтегаз	BBG002B9PYV7	VJGZ	TQBR	RU
Яндекс	TCS795005522	NL0009805522	000	RU
SPO МКБ	ISSUANCEMKBB	ISSUANCEMKBB	ISSUANCEMKBB	RU
Московская Биржа	TCS6777JR4A1	RU000A0JR4A1	A37	RU
Яндекс	TCS10A107T19	YDEX	PSSU	RU
Сбербанк	ISSUANCEMOEX	IMOEX Index	IMOEX Index	RU
Донской завод радиодеталей	BBG001CPLYK8	DZRD	TQBR	RU
Лукойл замещающие облигации	ISSUANCEZAML	ISSUANCEZAML	PSAU	RU
X5 RetailGroup ГДР	US98387E2054	US98387E2054	SPBXM_OTC	RU
Полюс	RU000A0JNAA8	RU000A0JNAA8	SPBXM_OTC	RU
VEON	TCS8822M5022	US91822M5022	RSB	RU
Акции обыкновенные ПАО МОЭК	TCS20A0JPQ93	MOEK	A36	RU
