name	figi	ticker	class_code
ФосАгро	TCS10A0JRKT8	RU000A0JRKT8	TILA21
Mitsubishi UFJ Financial Group	TCSF68221042	US6068221042	A30
Carvana Co	TCSF68691027	US1468691027	A29
FutureFuel Corp.	BBG000GDSKT7	FF	FF
Energizer Holdings Inc	TCSF272W1099	US29272W1099	A30
MSC Industrial Direct Co Inc	TCSF35301064	US5535301064	A29
DuPont de Nemours Inc	US26614N1028	US26614N1028	SPBXM_OTC
Vista Outdoor	TCSF83771007	US9283771007	A30
NETGEAR Inc	TCSF111Q1040	US64111Q1040	A29
Bank of New York Mellon	US0640581007	US0640581007	SPBXM_OTC
Leidos Holdings	TCSF53271028	US5253271028	A29
ConocoPhillips	US20825C1045	US20825C1045	SPBXM_OTC
Nabors Industries Ltd	TCSF359F1370	BMG6359F1370	A30
National Health Investors REIT	TCSF633D1046	US63633D1046	A29
Corteva Inc	BBG00BN969C1	CTVA	SPBXM
Heidelberg Materials AG	TCSF06047004	DE0006047004	A30
TG Therapeutics	BBG000FVZQY1	TGTX	SPBXM
Roku Inc	TCSF543R1023	US77543R1023	A30
Cadence BanCorp	BBG00BZSZZD5	CADE_old	CADE_old
KB Home	TCSF666K1097	US48666K1097	A29
Antares Pharma	BBG000N8K8B4	ATRS US	ATRS US
Flow Traders	TCSF602E1084	BMG3602E1084	A30
Barings BDC	TCSF759L1035	US06759L1035	A30
Grifols SA	BBG001QMCKF6	GRFS	GRFS
Papa John's International Inc	BBG000BFWF13	PZZA	SPBXM
Imperial Brands	BBG000HH0JM7	IMB	IMB
Nasdaq	TCSF11031081	US6311031081	A30
Hims & Hers Health	TCSF30001060	US4330001060	A29
RWE AG	TCSF07037129	DE0007037129	A30
Hyatt Hotels Corp	TCSF85791028	US4485791028	A30
Monte Rosa Therapeutics	BBG00X2VGZQ3	GLUE	GLUE
Achieve Life Sciences Inc	TCSF44685008	US0044685008	A30
Камчатскэнерго - привилегированные акции	BBG000J5X8M9	KCHEP	TQBR
АДР KE Hold	BBG00W9L9LX1	US4824971042	BEKE
Carvana Co	US1468691027	US1468691027	SPBXM_OTC
Dorian LPG Ltd	TCSF106R1100	MHY2106R1100	A29
Aeva Technologies	TCSF835Q1031	US00835Q1031	A30
Robinhood Markets, Inc.	TCSF07001027	US7707001027	A30
Kinder Morgan	US49456B1017	US49456B1017	SPBXM_OTC
SVB Financial Group	TCSF486Q1013	US78486Q1013	A29
Группа Аренадата	TCS00A108ZR8	DATA	TQBR
Dollar General	BBG000NV1KK7	DG	SPBXM
IPO МФК Займер	ISSUANCEZAIM	ISSUANCEZAIM	ISSUANCEZAIM
Acuity Brands	US00508Y1029	US00508Y1029	SPBXM_OTC
Qurate Retail Inc	US74915M1009	US74915M1009	SPBXM_OTC
Eos Energy Enterprises, Inc.	TCSF415C1018	US29415C1018	A29
Digital Ally	BBG019CJKQJ4	US25382T2006	DGLY
ОАО GTL	BBG0045X2HW8	GTLC	TQPI
Quest Diagnostics	TCSF834L1008	US74834L1008	A29
Dillard's Inc	BBG000BS4MP5	DDS	SPBXM
Ormat Technologies	TCSF66881021	US6866881021	A30
PureCycle Technologies	TCSF623V1035	US74623V1035	A29
RH	BBG002293PJ4	RH	SPBXM
BorgWarner	BBG000BJ49H3	BWA	SPBXM
Clover Health Investments, Corp.	TCSF914F1030	US18914F1030	A30
Optinose	TCSF404V1008	US68404V1008	A29
IQVIA Holdings Inc	TCSF266C1053	US46266C1053	A29
Muenchener Rueckversicherungs-Gesellschaft AG	BBG000BD9FD1	MUV2@DE	SPBDE
FMC	TCSF24913036	US3024913036	A29
Sachem Capital Corp.	BBG00F48C2K4	SACH	SACH
Perdoceo Education Corp	TCSF363P1066	US71363P1066	A30
Westwater Resources	BBG000C04VB0	US9616842061	WWR
SPAC VPC Impact Acquisition Holdings	TCS00XRJ7Y40	VIH	VIH
Adtalem Global Education Inc	TCSF737L1035	US00737L1035	A29
Hangzhou Tigermed Consulting Co Ltd	BBG00W6R5W34	3347	SPBHKEX
Teck Resources	TCSF87422044	CA8787422044	A30
Cadence Bank	TCSF740C1036	US12740C1036	A29
Paylocity Holding Corp	TCSF438V1061	US70438V1061	A29
Li Auto	TCS1202M1027	US50202M1027	T04
BE Semiconductor Industries NV	BBG000FT9SV4	NL0012866412	BESI
Pre-IPO DJI	ISSUANCEDJII	ISSUANCEDJII	ISSUANCEDJII
Packaging Corp of America	US6951561090	US6951561090	SPBXM_OTC
CNH Industrial N.V.	TCS110545661	CNH	SPBXM
Power REIT	TCSF933H1014	US73933H1014	A29
Gold Fields	TCSF059T1060	US38059T1060	A30
Agree Realty REIT	BBG000BC9DK0	US0084921008	ADC
Iron Mountain REIT	BBG000KCZPC3	IRM	SPBXM
